"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","100%","Banjo-Kazooie","","$1,641.00","$1,000.00"
"0 - Bid War","Character Bid War","Mario Kart Wii","Bid war to determine if the runner will use Funky Kong or Rosalina during the run.","$2,961.40","(None)"
"1 - Bid option","Play as Funky Kong","Mario Kart Wii","","$1,556.9","(None)"
"1 - Bid option","Play as Rosalina","Mario Kart Wii","","$1,404.5","(None)"
"0 - Donation Goal","TASbot adds an extra lap","TASbot plays MK64","TASbot plays through an extra lap during Mario Kart 64, taking a moment to show some of his newer tricks with the extra time.","$3,073.63","$3,000.00"
"0 - Donation Goal","Hard Mode Incentive","Sparkster","A donation incentive for Sparkster runner Tonic to play Sparkster on the Hard Difficulty, drastically increasing the difficulty of the run and providing a greater challenge.","$1,091.00","$1,000.00"
"0 - Donation Goal","Achieve S-Rank and/or Crazy Rank in arcade mode.","Crazy Taxi","Tiered donation incentive for the runner to achieve S-Rank ($5000 made in game) or Crazy Rank ($20000 made in game) during arcade mode. The S-Rank incentive is achieved at $500, Crazy Rank at $2000. This incentive forces the runners to play towards big money and big ranks.","$1,052.00","$2,000.00"
"0 - Bid War","File name bid war","Crazy Taxi","Bid war to name the file for the run (3 characters max)","$31.42","(None)"
"1 - Bid option","RSA","Crazy Taxi","","$31.4","(None)"
"0 - Bid War","Super Monkey Ball: Character Bid War","Super Monkey Ball","Play as Aiai, Meemee, Baby or Gongon.","$328.99","(None)"
"1 - Bid option","Gongon","Super Monkey Ball","","$197.0","(None)"
"1 - Bid option","Aiai","Super Monkey Ball","","$75.9","(None)"
"1 - Bid option","Baby","Super Monkey Ball","","$46.0","(None)"
"1 - Bid option","Meemee","Super Monkey Ball","","$10.0","(None)"
"0 - Donation Goal","VVVVVV Bonus Game after","Marble Blast Ultra","Bonus Game! VVVVVV by FieryBlizzard. Takes place in setup block after Marble Blast Ultra!","$3,333.72","$3,000.00"
"0 - Bid War","Hero/Dark Story Bid War","Sonic Adventure 2 Battle","","$2,095.51","(None)"
"1 - Bid option","Dark Story","Sonic Adventure 2 Battle","","$1,642.0","(None)"
"1 - Bid option","Hero Story","Sonic Adventure 2 Battle","","$453.5","(None)"
"0 - Bid War","Team Bid War","Sonic Heroes","Bid War to decide which team is used during the run.","$4,333.51","(None)"
"1 - Bid option","Team Rose","Sonic Heroes","","$1,735.9","(None)"
"1 - Bid option","Team Dark","Sonic Heroes","","$1,473.4","(None)"
"1 - Bid option","Team Sonic","Sonic Heroes","","$842.9","(None)"
"1 - Bid option","Team Chaotix","Sonic Heroes","","$281.2","(None)"
"0 - Donation Goal","Death Race incentive","F-Zero X","A donation incentive for F-Zero X runner WMJ to complete the bonus &quot;Death Race&quot; after completing the main run. &quot;Death Race&quot; is a chaotic level, focused on satiating Captain Falcon&#39;s bloodlust for his fellow racers.","$5,205.00","$5,000.00"
"0 - Donation Goal","Secret Stages Incentive","Battleblock Theater","A donation incentive for Battleblock Theater runners PJ and MechaRichter complete the secret stages. These incredibly gimmicky stages are entirely optional, and contain one of the best songs in any video game ever.","$5,045.00","$5,000.00"
"0 - Bid War","Character Bid War","Metal Slug Advance","Bid War to determine if the runner plays as Walter or Tyra","$421.99","(None)"
"1 - Bid option","Play as Tyra","Metal Slug Advance","","$249.9","(None)"
"1 - Bid option","Play as Walter","Metal Slug Advance","","$172.0","(None)"
"0 - Donation Goal","Warpless% Incentive","Battletoads","A donation incentive for Battletoads runners jc538 and TheMexicanRunner to use the No Warps route. Wookie Hole, Surf City, and many more levels will be skipped if this incentive isn&#39;t met. And what&#39;s a Battletoads speedrun if it doesn&#39;t include all the torture Sega created in 1991?","$3,065.00","$3,000.00"
"0 - Bid War","100% (Save Girlfriend) vs Any% (Don&#39;t Save Girlfriend) Bid War","River City Ransom","Bid War to determine if the runner will save the girlfriend and do the 100% route or not save her and do the any% route.","$1,552.70","(None)"
"1 - Bid option","Save the Girlfriend (100% route)","River City Ransom","","$1,205.0","(None)"
"1 - Bid option","Don&#39;t save the Girlfriend (any% route)","River City Ransom","","$347.6","(None)"
"0 - Donation Goal","Best Ending Incentive","Gimmick!","A donation incentive for Gimmick! runner Cyghfer to achieve the best ending of Gimmick!. This involves collecting secret items, doing an additional stage, and beating the REAL final boss. If this incentive isn&#39;t met, then Mr. Gimmick will be unable to save a young girl that&#39;s been trapped in the evil toy world. Do you really want that on your conscious?","$1,000.04","$1,000.00"
"0 - Donation Goal","Community Bonus Game Block","Gimmick!","A donation bid to add three bonus games to take place after Gimmick! These three runs are: Blaster Master (PAL%) by coolkid, a Lawn Mower race with Bony, Nightmare, and Blechy, and a Die Hard run by KirkQtpie. These three runs are community favorites, featuring broken gameplay, the excitement of mowing lawns, and an AGDQ 2013 classic is making a return.","$2,051.14","$2,000.00"
"0 - Bid War","Character Bid War","Goof Troop","Bid War to determine which character the runners will use during their race: Goofy or Max","$468.19","(None)"
"1 - Bid option","Play as Goofy","Goof Troop","","$388.1","(None)"
"1 - Bid option","Play as Max","Goof Troop","","$80.0","(None)"
"0 - Donation Goal","Break the camera","Whizz","A donation incentive for the Whizz runner __sdfg to perform a glitch that breaks the camera in two specific levels. Watch a rabbit forced onto a different place of existence!","$1,024.25","$1,000.00"
"0 - Donation Goal","Rayman Legends: Kung Foot Bonus","Rayman Legends","Donate to get CaneofPacci, SpikeVegeta, Spare747, and FearfulFerret/Nitroski to play extra 5 minute game of Kung Foot after the end of the run.","$1,959.01","$3,000.00"
"0 - Donation Goal","100% incentive.","I wanna be the Boshy","A donation incentive for I wanna be the Boshy runner Witwix to complete the 100% route. This involves beating every boss and collecting every item, soundtrack, and character. Watch Kappa finally get taken down, and the Cheetahmen supremacy end!","$5,100.86","$5,000.00"
"0 - Bid War","File name bid war","Zelda II: The Adventure of Link","Bid war to name the file name. (Note this is only for the regular run as the NG+ run requires a pre-made file with a set name.) 8 characters max","$646.50","(None)"
"1 - Bid option","GERMENCH","Zelda II: The Adventure of Link","","$561.5","(None)"
"1 - Bid option","Feasel","Zelda II: The Adventure of Link","","$65.0","(None)"
"1 - Bid option","Zeldo","Zelda II: The Adventure of Link","","$20.0","(None)"
"0 - Donation Goal","Glitched% Run Incentive","Zelda II: The Adventure of Link","A donation incentive for Zelda II: The Adventure of Link runner Pro_JN to do an additional run using the glitched route. Link is going to take a unique and terrifying trip through Hyrule thanks to wonderful, wonderful glitches.","$1,250.00","$1,250.00"
"0 - Bid War","File name bid war","The Legend of Zelda","Bid war to name the file names for both runners during the race of LoZ. (6 file slots, with a max of 8 characters each) Note: Zelda can&#39;t be used for the file name the runners use to run the game.","$934.00","(None)"
"1 - Bid option","BeryTube","The Legend of Zelda","","$340.0","(None)"
"1 - Bid option","MikeK","The Legend of Zelda","","$310.0","(None)"
"1 - Bid option","BlameTK","The Legend of Zelda","","$150.0","(None)"
"1 - Bid option","NCSUN","The Legend of Zelda","","$79.0","(None)"
"1 - Bid option","Zeldo","The Legend of Zelda","","$55.0","(None)"
"0 - Donation Goal","Good Ending","Silent Hill","A donation incentive for Silent Hill runner tekkie to achieve the Good Ending. Kill more bad guys, summon more demons! The two natural ingredients for achieving a better ending.","$2,070.55","$2,000.00"
"0 - Donation Goal","Bonus Any% Run","The Elder Scrolls III: Morrowind","A donation incentive for Elder Scrolls III: Morrowind runner AlbinoAlbatross to complete an any% run after completing the marathon run. This short run shows the wonders of Morrowind from the perspective of a bird! Or a human being flying high through the sky.","$3,285.00","$3,000.00"
"0 - Bid War","Character Name","The Elder Scrolls III: Morrowind","Bid war to name the player character during the run (Maximum of 31 characters)","$6,629.18","(None)"
"1 - Bid option","Bob_Lennon","The Elder Scrolls III: Morrowind","","$3,545.0","(None)"
"1 - Bid option","Air Force Gator","The Elder Scrolls III: Morrowind","","$2,771.6","(None)"
"1 - Bid option","I have no idea what I&#39;m doing","The Elder Scrolls III: Morrowind","","$220.0","(None)"
"1 - Bid option","Bead Bead","The Elder Scrolls III: Morrowind","","$82.5","(None)"
"1 - Bid option","Steals-Your-Stuff","The Elder Scrolls III: Morrowind","","$10.0","(None)"
"0 - Bid War","Character Race","The Elder Scrolls III: Morrowind","Bid War to choose the player characters race. Any of the games available races can be bid on.","$3,197.45","(None)"
"1 - Bid option","Argonian","The Elder Scrolls III: Morrowind","","$1,216.1","(None)"
"1 - Bid option","Khajit","The Elder Scrolls III: Morrowind","","$1,164.1","(None)"
"1 - Bid option","Nord","The Elder Scrolls III: Morrowind","","$200.0","(None)"
"1 - Bid option","Orc","The Elder Scrolls III: Morrowind","","$190.0","(None)"
"1 - Bid option","Wood Elf","The Elder Scrolls III: Morrowind","","$113.5","(None)"
"1 - Bid option","Dark Elf","The Elder Scrolls III: Morrowind","","$105.6","(None)"
"1 - Bid option","Breton","The Elder Scrolls III: Morrowind","","$71.9","(None)"
"1 - Bid option","Imperial","The Elder Scrolls III: Morrowind","","$50.0","(None)"
"1 - Bid option","Redguard","The Elder Scrolls III: Morrowind","","$46.0","(None)"
"1 - Bid option","High Elf","The Elder Scrolls III: Morrowind","","$40.0","(None)"
"0 - Donation Goal","Kill The False God Vivec with a Lockpick","The Elder Scrolls III: Morrowind","Donation Incentive to kill Vivec with a lockpick.","$1,506.91","$1,500.00"
"0 - Bid War","Descendant (Character) Name bid war","Rogue Legacy","Bid war to decide what names the descendants will have during the run. The top 4 Male and top 4 Female names will be used. Names can be 10 characters long (including spaces)","$1,648.70","(None)"
