"Type","Incentive","Game","Description","Amount","Goal"
"0 - Bid War","Filename","Startropics 2","","$36.00","(None)"
"1 - Bid option","DaleCody","Startropics 2","","$25.0","(None)"
"1 - Bid option","OldBobby","Startropics 2","","$10.0","(None)"
"1 - Bid option","Bill","Startropics 2","","$1.0","(None)"
"0 - Bid War","in bounds vs out of bounds","portal","","$148.00","(None)"
"1 - Bid option","out of bounds","portal","","$90.0","(None)"
"1 - Bid option","in bounds","portal","","$58.0","(None)"
"0 - Bid War","character choice","metal slug 3","","$100.00","(None)"
"1 - Bid option","Marco","metal slug 3","","$100.0","(None)"
"1 - Bid option","Eri","metal slug 3","","$0.0","(None)"
"1 - Bid option","Fio","metal slug 3","","$0.0","(None)"
"1 - Bid option","Tarma","metal slug 3","","$0.0","(None)"
"0 - Bid War","weapon","contra 3","","$200.00","(None)"
"1 - Bid option","fire","contra 3","","$140.0","(None)"
"1 - Bid option","all weapons","contra 3","","$60.0","(None)"
"1 - Bid option","laser","contra 3","","$0.0","(None)"
"1 - Bid option","pea shooter","contra 3","","$0.0","(None)"
"1 - Bid option","spread","contra 3","","$0.0","(None)"
"0 - Bid War","character choice","contra 4","","$90.00","(None)"
"1 - Bid option","Lance","contra 4","","$65.0","(None)"
"1 - Bid option","Sheena","contra 4","","$25.0","(None)"
"1 - Bid option","Bill","contra 4","","$0.0","(None)"
"1 - Bid option","Jimbo","contra 4","","$0.0","(None)"
"1 - Bid option","Lucia","contra 4","","$0.0","(None)"
"1 - Bid option","Mad Dog","contra 4","","$0.0","(None)"
"1 - Bid option","Scorpion","contra 4","","$0.0","(None)"
"1 - Bid option","Sully","contra 4","","$0.0","(None)"
"0 - Bid War","character choice","resident evil 1","","$50.00","(None)"
"1 - Bid option","chris","resident evil 1","","$45.0","(None)"
"1 - Bid option","jill","resident evil 1","","$5.0","(None)"
"0 - Donation Goal","show opening cutscene","resident evil 1","","$170.00","$150.00"
"0 - Donation Goal","100% castle unlock","final fantasy viii part 1","","$500.00","$500.00"
"0 - Bid War","concert song choice","final fantasy viii part 1","The &#39;disharmonious&#39; option is a mix of the other two, and comes highly recommended by Poxnor.","$45.00","(None)"
"1 - Bid option","disharmonious chaos","final fantasy viii part 1","","$25.0","(None)"
"1 - Bid option","irish jig","final fantasy viii part 1","","$20.0","(None)"
"1 - Bid option","instrumental eyes on me","final fantasy viii part 1","","$0.0","(None)"
"0 - Bid War","fight ultima weapon/name eden (must reach 250$)","final fantasy viii part 1","If the total for all bids towards naming reached 250$, Poxnor will fight Ultima Weapon.","$346.00","(None)"
"1 - Bid option","Espresso","final fantasy viii part 1","","$190.0","(None)"
"1 - Bid option","lets play","final fantasy viii part 1","","$141.0","(None)"
"1 - Bid option","barlw","final fantasy viii part 1","","$15.0","(None)"
"0 - Donation Goal","get odin and gilgamesh","final fantasy viii part 1","Odin is an optional, non-nameable Guardian Force.","$360.00","$300.00"
"0 - Bid War","name angelo","final fantasy viii part 1","","$116.00","(None)"
"1 - Bid option","stupid","final fantasy viii part 1","","$50.0","(None)"
"1 - Bid option","skoll","final fantasy viii part 1","","$40.0","(None)"
"1 - Bid option","dalecody","final fantasy viii part 1","","$15.0","(None)"
"1 - Bid option","sanic","final fantasy viii part 1","","$11.0","(None)"
"0 - Bid War","name bahamut","final fantasy viii part 1","","$200.00","(None)"
"1 - Bid option","Rainbows","final fantasy viii part 1","","$80.0","(None)"
"1 - Bid option","(...)","final fantasy viii part 1","","$50.0","(None)"
"1 - Bid option","Bahamut","final fantasy viii part 1","","$25.0","(None)"
"1 - Bid option","MrBiggles","final fantasy viii part 1","","$25.0","(None)"
"1 - Bid option","kalec","final fantasy viii part 1","","$20.0","(None)"
"0 - Bid War","name cactuar (must reach 200$)","final fantasy viii part 1","Total amount bid towards naming this must also exceed $200 before Poxnor will consider collecting it.","$220.00","(None)"
"1 - Bid option","squishy","final fantasy viii part 1","","$180.0","(None)"
"1 - Bid option","cactdance","final fantasy viii part 1","","$20.0","(None)"
"1 - Bid option","</a>","final fantasy viii part 1","","$10.0","(None)"
"1 - Bid option","scorpio","final fantasy viii part 1","","$10.0","(None)"
"1 - Bid option","old bobby","final fantasy viii part 1","","$0.0","(None)"
"0 - Bid War","name carbuncle","final fantasy viii part 1","","$30.00","(None)"
"1 - Bid option","monty","final fantasy viii part 1","","$30.0","(None)"
"0 - Bid War","name cerberus","final fantasy viii part 1","","$90.00","(None)"
"1 - Bid option","Moo","final fantasy viii part 1","","$50.0","(None)"
"1 - Bid option","Red Zone","final fantasy viii part 1","","$15.0","(None)"
"1 - Bid option","Snoopy","final fantasy viii part 1","","$15.0","(None)"
"1 - Bid option","biggles","final fantasy viii part 1","","$10.0","(None)"
"0 - Bid War","name diablos","final fantasy viii part 1","","$65.00","(None)"
"1 - Bid option","sunshine","final fantasy viii part 1","","$60.0","(None)"
"1 - Bid option","ffgamer86","final fantasy viii part 1","","$5.0","(None)"
"0 - Bid War","name griever","final fantasy viii part 1","This will also serve as the name for the final boss.","$500.00","(None)"
"1 - Bid option","old bobby","final fantasy viii part 1","","$500.0","(None)"
"0 - Bid War","name ifrit","final fantasy viii part 1","","$171.00","(None)"
"1 - Bid option","khorne","final fantasy viii part 1","","$121.0","(None)"
"1 - Bid option","ffgamer86","final fantasy viii part 1","","$50.0","(None)"
"0 - Bid War","name leviathan","final fantasy viii part 1","","$35.00","(None)"
"1 - Bid option","ulfnog","final fantasy viii part 1","","$25.0","(None)"
"1 - Bid option","python","final fantasy viii part 1","","$10.0","(None)"
