"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","Emil-handed Run","NieR: Automata","If met, Halfcoordinated will complete the entire NieR: Automata run while holding an Emil plushie on his free hand.","$2,740.00","$2,500.00"
"0 - Donation Goal","Fight Shovel Knight","Azure Striker Gunvolt 2","johncarls will fight Shovel Knight during his Azure Striker Gunvolt 2 run.","$5,238.05","$5,000.00"
"0 - Bid War","Choose the Suit","Metroid Prime","Choose the suit design used for the Metroid Prime run.","$4,423.00","(None)"
"1 - Bid option","Fusion Suit","Metroid Prime","","$2,425.0","(None)"
"1 - Bid option","Chozo Suit","Metroid Prime","","$1,998.0","(None)"
"0 - Bid War","Filename Choice","Castlevania: Symphony of the Night","Choose the Filename used for the Castlevania: Symphony of the Night run. 8 characters, A-Z, plus ! - . &#39;.","$2,468.69","(None)"
"1 - Bid option","PIG EGG","Castlevania: Symphony of the Night","","$705.6","(None)"
"1 - Bid option","HPMOR","Castlevania: Symphony of the Night","","$625.0","(None)"
"1 - Bid option","AphoticK","Castlevania: Symphony of the Night","","$261.0","(None)"
"1 - Bid option","HELP ME","Castlevania: Symphony of the Night","","$145.0","(None)"
"1 - Bid option","2B","Castlevania: Symphony of the Night","","$107.0","(None)"
"1 - Bid option","CLARENCE","Castlevania: Symphony of the Night","","$75.0","(None)"
"1 - Bid option","BARKLEY","Castlevania: Symphony of the Night","","$70.0","(None)"
"1 - Bid option","Buttz","Castlevania: Symphony of the Night","","$55.0","(None)"
"1 - Bid option","MELO","Castlevania: Symphony of the Night","","$25.0","(None)"
"1 - Bid option","RICK","Castlevania: Symphony of the Night","","$15.0","(None)"
"1 - Bid option","MORTY","Castlevania: Symphony of the Night","","$5.0","(None)"
"1 - Bid option","VENI","Castlevania: Symphony of the Night","","$5.0","(None)"
"1 - Bid option","AXEARMOR","Castlevania: Symphony of the Night","","$0.0","(None)"
"0 - Bid War","Choose the Androids","Assault Android Cactus","Choose the android characters used for the Assault Android Cactus run.","$1,576.69","(None)"
"1 - Bid option","Starch","Assault Android Cactus","","$506.6","(None)"
"1 - Bid option","Aubergine","Assault Android Cactus","","$477.0","(None)"
"1 - Bid option","Holly","Assault Android Cactus","","$440.0","(None)"
"1 - Bid option","Cactus","Assault Android Cactus","","$153.0","(None)"
"0 - Bid War","Name the Player","ActRaiser","The player character, aka The Master, needs a name. You choose it. 8 character limit.","$915.01","(None)"
"1 - Bid option","CBX","ActRaiser","","$270.0","(None)"
"1 - Bid option","Siobhan","ActRaiser","","$145.0","(None)"
"1 - Bid option","Koshiro","ActRaiser","","$125.0","(None)"
"1 - Bid option","Iwata","ActRaiser","","$70.0","(None)"
"1 - Bid option","ARBYS","ActRaiser","","$65.0","(None)"
"1 - Bid option","glorious","ActRaiser","","$50.0","(None)"
"1 - Bid option","Hobo","ActRaiser","","$30.0","(None)"
"0 - Donation Goal","Ultimate All Levels","Super Monkey Ball Deluxe","If met, Jcool114 will do an Ultimate All Levels run instead of an Ultimate run.","$6,000.00","$6,000.00"
"0 - Donation Goal","All Good Futures","Sonic CD 2011","If met, Flying Fox will do a Tails All Good Futures run instead of a Tails Any% run.","$5,000.00","$5,000.00"
"0 - Bid War","Choose the Soundtrack","Sonic CD 2011","Choose the Soundtrack used for the Sonic CD run. JP OST vs US OST.","$2,602.06","(None)"
"1 - Bid option","US Soundtrack","Sonic CD 2011","","$1,338.5","(None)"
"1 - Bid option","JP Soundtrack","Sonic CD 2011","","$1,263.5","(None)"
"0 - Donation Goal","Green Hill Zone Blindfolded","Sonic Generations","If met, Frokenok will speedrun the entirety of Green Hill Zone blindfolded, both modern and classic levels.","$0.00","$5,000.00"
"0 - Donation Goal","Hidden Easter Egg","Mirror&#39;s Edge Catalyst","There&#39;s an easter egg near the end of Mirror&#39;s Edge Catalyst, involving rodents and a locomotive. If you want to see it, this one&#39;s for you.","$5,060.00","$5,000.00"
"0 - Donation Goal","Collect the new Rainbow Coin","Donkey Kong 64","Kiwikiller67 will collect the hidden Rainbow Coin that remained unfound until last year.","$3,256.00","$3,000.00"
"0 - Donation Goal","Bonus Henry Any% Run","Castlevania: Legacy of Darkness","If met, SluckySeven will complete an additional Henry Any% run after his Carrie Any% run.","$5,000.00","$5,000.00"
"0 - Bid War","Filename and License Plate Choice","Tryrush Deppy","Choose the Filename and License Plate Number used for the Tryrush Deppy run. 5 letters for Filename, 00-00 format for License Plate, numbers only.","$467.78","(None)"
"1 - Bid option","Abby, 06-25","Tryrush Deppy","","$162.7","(None)"
"1 - Bid option","MOM, 00-07","Tryrush Deppy","","$155.0","(None)"
"1 - Bid option","NOOSU","Tryrush Deppy","","$25.0","(None)"
"1 - Bid option","DAD, 70-00","Tryrush Deppy","","$15.0","(None)"
"0 - Bid War","License Plate Design","Tryrush Deppy","Choose the License Plate Design used for the Tryrush Deppy run.","$121.00","(None)"
"1 - Bid option","Cactus","Tryrush Deppy","","$100.0","(None)"
"1 - Bid option","Top Hat","Tryrush Deppy","","$20.0","(None)"
"1 - Bid option","Space Shuttle","Tryrush Deppy","","$1.0","(None)"
"1 - Bid option","Eiffel Tower","Tryrush Deppy","","$0.0","(None)"
"1 - Bid option","Elephant","Tryrush Deppy","","$0.0","(None)"
"1 - Bid option","Mountain","Tryrush Deppy","","$0.0","(None)"
"1 - Bid option","Mug","Tryrush Deppy","","$0.0","(None)"
"1 - Bid option","Penguin","Tryrush Deppy","","$0.0","(None)"
"1 - Bid option","Russian Cathedral","Tryrush Deppy","","$0.0","(None)"
"1 - Bid option","Statue of Liberty","Tryrush Deppy","","$0.0","(None)"
"0 - Donation Goal","Twitch Integration","Clustertruck","If met, we will enable Twitch Integration for the Clustertruck run, where you can send commands through the chat to mess with the runner.","$5,010.00","$5,000.00"
"0 - Bid War","Put Hat on Bus","OmniBus","Konasumi&#39;s bus likes to wear a hat. Choose the hat the bus will wear.","$545.00","(None)"
"1 - Bid option","Ice Cream Cone","OmniBus","","$347.0","(None)"
"1 - Bid option","Park Ranger Hat","OmniBus","","$120.0","(None)"
"1 - Bid option","Baseball Cap","OmniBus","","$78.0","(None)"
"0 - Donation Goal","Beeto&#39;s Big Break","Shovel Knight: Specter of Torment","Beeto&#39;s Big Break is a challenge mode stage where Specter Knight needs to juggle a beetle through the entire stage without dropping it.","$5,076.32","$5,000.00"
"0 - Donation Goal","BONUS GAME: Shovel Knight: Specter of Torment","Shovel Knight: Specter of Torment","Replace SETUP BLOCK 1 with an Any% run of Shovel Knight: Specter of Torment by MunchaKoopas.","$15,125.00","$15,000.00"
"0 - Bid War","Choose the Armor Color","Shovel Knight: Specter of Torment","Choose the armor color used for the Specter of Torment run.","$1,480.50","(None)"
"1 - Bid option","Purple","Shovel Knight: Specter of Torment","","$685.0","(None)"
"1 - Bid option","Green","Shovel Knight: Specter of Torment","","$665.5","(None)"
"1 - Bid option","Red","Shovel Knight: Specter of Torment","","$70.0","(None)"
"1 - Bid option","Blue","Shovel Knight: Specter of Torment","","$60.0","(None)"
"0 - Bid War","Filename Choice","Shovel Knight: Specter of Torment","Choose the Filename used for the Specter of Torment run.","$1,018.50","(None)"
"1 - Bid option","Gregg Rulz OK","Shovel Knight: Specter of Torment","","$525.5","(None)"
"1 - Bid option","Aughostus","Shovel Knight: Specter of Torment","","$220.0","(None)"
"1 - Bid option","Link","Shovel Knight: Specter of Torment","","$107.0","(None)"
"1 - Bid option","Boneless","Shovel Knight: Specter of Torment","","$65.0","(None)"
"1 - Bid option","Predix","Shovel Knight: Specter of Torment","","$51.0","(None)"
"1 - Bid option","Filet","Shovel Knight: Specter of Torment","","$5.0","(None)"
"0 - Donation Goal","Watch the post-credits cutscene","The Wheel of Time","The Wheel of Time has a post-credits cutscene. If you want to see it, here you go.","$2,500.00","$2,500.00"
"0 - Donation Goal","Capture Team Rocket","Pokemon Puzzle League","FFR Pro 21 will complete the 2D Special Stage and capture that pesky Team Rocket.","$3,045.51","$3,000.00"
"0 - Bid War","Cyndaquil Nickname","Pok\xc3\xa9mon HeartGold/SoulSilver","Choose the nickname given to the Cyndaquil in the Pok\xc3\xa9mon HeartGold/SoulSilver run. 10 characters.","$4,964.17","(None)"
"1 - Bid option","FireSonic","Pok\xc3\xa9mon HeartGold/SoulSilver","","$1,989.4","(None)"
"1 - Bid option","Torchic","Pok\xc3\xa9mon HeartGold/SoulSilver","","$1,473.0","(None)"
"1 - Bid option","Final Pam","Pok\xc3\xa9mon HeartGold/SoulSilver","","$715.0","(None)"
"1 - Bid option","Frenipan","Pok\xc3\xa9mon HeartGold/SoulSilver","","$243.0","(None)"
"1 - Bid option","Gwyn","Pok\xc3\xa9mon HeartGold/SoulSilver","","$115.0","(None)"
"1 - Bid option","Boneless","Pok\xc3\xa9mon HeartGold/SoulSilver","","$110.5","(None)"
"1 - Bid option","GreenMeany","Pok\xc3\xa9mon HeartGold/SoulSilver","","$55.0","(None)"
"1 - Bid option","Primus","Pok\xc3\xa9mon HeartGold/SoulSilver","","$50.0","(None)"
"1 - Bid option","UncleSam","Pok\xc3\xa9mon HeartGold/SoulSilver","","$50.0","(None)"
"1 - Bid option","Goomy","Pok\xc3\xa9mon HeartGold/SoulSilver","","$42.2","(None)"
"1 - Bid option","FirePotato","Pok\xc3\xa9mon HeartGold/SoulSilver","","$36.0","(None)"
"1 - Bid option","Rune","Pok\xc3\xa9mon HeartGold/SoulSilver","","$30.0","(None)"
"1 - Bid option","Lavos","Pok\xc3\xa9mon HeartGold/SoulSilver","","$25.0","(None)"
"1 - Bid option","SethRich","Pok\xc3\xa9mon HeartGold/SoulSilver","","$10.0","(None)"
"1 - Bid option","LordZuul","Pok\xc3\xa9mon HeartGold/SoulSilver","","$5.0","(None)"
"0 - Bid War","Raikou Nickname","Pok\xc3\xa9mon HeartGold/SoulSilver","Choose the nickname given to the Raikou used in the Pok\xc3\xa9mon HeartGold/SoulSilver run. 10 characters.","$8,502.66","(None)"
"1 - Bid option","USA","Pok\xc3\xa9mon HeartGold/SoulSilver","","$6,085.7","(None)"
"1 - Bid option","Pizza","Pok\xc3\xa9mon HeartGold/SoulSilver","","$702.0","(None)"
"1 - Bid option","HOOOOOOOOO","Pok\xc3\xa9mon HeartGold/SoulSilver","","$436.5","(None)"
"1 - Bid option","ZipZapCat","Pok\xc3\xa9mon HeartGold/SoulSilver","","$360.6","(None)"
"1 - Bid option","OhMyDog","Pok\xc3\xa9mon HeartGold/SoulSilver","","$295.0","(None)"
"1 - Bid option","Mike","Pok\xc3\xa9mon HeartGold/SoulSilver","","$165.0","(None)"
"1 - Bid option","Goomy","Pok\xc3\xa9mon HeartGold/SoulSilver","","$100.0","(None)"
"1 - Bid option","Doggo","Pok\xc3\xa9mon HeartGold/SoulSilver","","$92.7","(None)"
"1 - Bid option","Sami Zayn","Pok\xc3\xa9mon HeartGold/SoulSilver","","$65.0","(None)"
"1 - Bid option","Baikou","Pok\xc3\xa9mon HeartGold/SoulSilver","","$60.0","(None)"
"1 - Bid option","mandyLurk","Pok\xc3\xa9mon HeartGold/SoulSilver","","$35.0","(None)"
"1 - Bid option","Rexyou","Pok\xc3\xa9mon HeartGold/SoulSilver","","$30.0","(None)"
"1 - Bid option","ThunderCat","Pok\xc3\xa9mon HeartGold/SoulSilver","","$15.0","(None)"
"1 - Bid option","Widowmaker","Pok\xc3\xa9mon HeartGold/SoulSilver","","$10.0","(None)"
"0 - Bid War","Sentret Nickname","Pok\xc3\xa9mon HeartGold/SoulSilver","Choose the nickname given to the Sentret used in the Pok\xc3\xa9mon HeartGold/SoulSilver run. 10 characters.","$3,970.52","(None)"
"1 - Bid option","TitusBrand","Pok\xc3\xa9mon HeartGold/SoulSilver","","$1,350.0","(None)"
"1 - Bid option","Mr. Meeseeks","Pok\xc3\xa9mon HeartGold/SoulSilver","","$1,299.5","(None)"
"1 - Bid option","Superdeath","Pok\xc3\xa9mon HeartGold/SoulSilver","","$585.0","(None)"
"1 - Bid option","StayWoke","Pok\xc3\xa9mon HeartGold/SoulSilver","","$261.0","(None)"
"1 - Bid option","MVP","Pok\xc3\xa9mon HeartGold/SoulSilver","","$155.0","(None)"
"1 - Bid option","FurrySnek","Pok\xc3\xa9mon HeartGold/SoulSilver","","$135.0","(None)"
"1 - Bid option","Oh Banana","Pok\xc3\xa9mon HeartGold/SoulSilver","","$65.0","(None)"
"1 - Bid option","Goomy","Pok\xc3\xa9mon HeartGold/SoulSilver","","$60.0","(None)"
"1 - Bid option","RapGod","Pok\xc3\xa9mon HeartGold/SoulSilver","","$25.0","(None)"
"1 - Bid option","Mewtwo","Pok\xc3\xa9mon HeartGold/SoulSilver","","$20.0","(None)"
"1 - Bid option","Joeys","Pok\xc3\xa9mon HeartGold/SoulSilver","","$5.0","(None)"
"1 - Bid option","VoHiT","Pok\xc3\xa9mon HeartGold/SoulSilver","","$5.0","(None)"
"0 - Bid War","Emily vs Corvo","Dishonored 2","Choose the character story played for the Dishonored 2 run.","$2,711.39","(None)"
"1 - Bid option","Play Emily&#39;s Story","Dishonored 2","","$2,526.3","(None)"
"1 - Bid option","Play Corvo&#39;s Story","Dishonored 2","","$185.0","(None)"
"0 - Donation Goal","Secret Dog Ending","Silent Hill 2","Silent Hill 2 has a hidden ending. It involves a Shiba Inu.","$5,010.05","$5,000.00"
"0 - Bid War","Chris vs Jill","Resident Evil","Choose the character played for the Resident Evil run.","$3,892.74","(None)"
"1 - Bid option","Play as Jill","Resident Evil","","$3,382.7","(None)"
"1 - Bid option","Play as Chris","Resident Evil","","$510.0","(None)"
"0 - Bid War","Choose the Voice Language","Onimusha: Warlords","Choose the voice language used for the run.","$2,527.00","(None)"
"1 - Bid option","English","Onimusha: Warlords","","$1,876.0","(None)"
"1 - Bid option","Japanese","Onimusha: Warlords","","$651.0","(None)"
"0 - Donation Goal","Use the Panda Suit","Onimusha: Warlords","Samanosuke will trade his samurai armor for an &quot;adorable&quot; panda suit for the duration of the run.","$3,500.16","$3,500.00"
"0 - Bid War","Filename Choice","Castlevania III: Dracula&#39;s Curse","Choose the filename used for the Castlevania III run. 8 characters.","$2,440.80","(None)"
"1 - Bid option","FinalPam","Castlevania III: Dracula&#39;s Curse","","$941.6","(None)"
"1 - Bid option","Juese","Castlevania III: Dracula&#39;s Curse","","$710.0","(None)"
"1 - Bid option","Muscles","Castlevania III: Dracula&#39;s Curse","","$414.1","(None)"
