"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","Stormy Ascent","crash bandicoot","A level that was removed late in development from Crash 1 for being too difficult. Regardless, it was completed and is still in the game code.","$470.00","$350.00"
"0 - Donation Goal","The Biggest Skip","spyro: year of the dragon","Recently discovered major skip. Runners will still play the originally planned route, but if met, will show off this trick as well.","$756.00","$500.00"
"0 - Donation Goal","Viewtiful World Music Video","viewtiful joe","A silly music video to show off at the end of the game.","$683.00","$500.00"
"0 - Bid War","File Name","super monkey ball 2","","$801.70","(None)"
"1 - Bid option","MVLuck","super monkey ball 2","","$279.0","(None)"
"1 - Bid option","wwwwww","super monkey ball 2","","$210.1","(None)"
"1 - Bid option","OpieOP","super monkey ball 2","","$140.5","(None)"
"1 - Bid option","LilZ","super monkey ball 2","","$122.0","(None)"
"1 - Bid option","Keepo","super monkey ball 2","","$50.0","(None)"
"0 - Donation Goal","Master Mode Race","super monkey ball 2","Race through master mode as well.","$526.95","$500.00"
"0 - Donation Goal","Chaco&#39;s lipstick and curly&#39;s panties","cave story","Chaco&#39;s lipstick and curly&#39;s panties","$527.00","$400.00"
"0 - Bid War","Game Choice","tas bot/tas block","Super Mario Bros.3 with warps vs Super Mario 64 0-star","$456.25","(None)"
"1 - Bid option","Super Mario 64 0-star","tas bot/tas block","","$228.2","(None)"
"1 - Bid option","Super Mario Bros. 3","tas bot/tas block","","$228.0","(None)"
"0 - Donation Goal","I Wanna be the Guy Gaiden","i wanna be the guy","Have Yagamoth play IWBTG: Gaiden","$1,265.00","$1,000.00"
"0 - Donation Goal","Extreme Difficulty","ducktales remastered","The alternative is Easy, which isn&#39;t even a difficulty.","$775.00","$750.00"
"0 - Bid War","Music Type","ducktales remastered","Original vs Remixed.","$518.66","(None)"
"1 - Bid option","8-bit","ducktales remastered","","$328.6","(None)"
"1 - Bid option","Remixed","ducktales remastered","","$190.0","(None)"
"0 - Donation Goal","Sing the Theme Song","ducktales remastered","Life is like a Hurricane, here in Duckburg.","$515.00","$500.00"
"0 - Donation Goal","No Items Run","darkwing duck","","$95.00","$750.00"
"0 - Donation Goal","Higher Difficulty and Roll Call","kendo rage","Higher difficulty mode gives a bonus enemy roll call before the credits.","$124.00","$600.00"
"0 - Bid War","Character Choice","legend of mystical ninja","Both characters have different weapons and learn different attacks, but for the most part are roughly identical. See gamefaqs if you&#39;re really curious as to what&#39;s different.","$103.00","(None)"
"1 - Bid option","Dr. Yang","legend of mystical ninja","","$103.0","(None)"
"1 - Bid option","Kid Ying","legend of mystical ninja","","$0.0","(None)"
"0 - Bid War","How many dots are on Mr. Domino&#39;s back (0-9)","no one can stop mr. domino","Breakdown has been diligently training with all 10 possible variations of dottedness to ensure a high quality run regardless of the outcome. You can&#39;t stop Mr. Domino, but you can make sure he runs around in the most optimal of style.","$170.01","(None)"
"1 - Bid option","1 dot","no one can stop mr. domino","","$40.0","(None)"
"1 - Bid option","7 dots","no one can stop mr. domino","","$35.0","(None)"
"1 - Bid option","2 dots","no one can stop mr. domino","","$25.0","(None)"
"1 - Bid option","5 dots","no one can stop mr. domino","","$25.0","(None)"
"1 - Bid option","8 dots","no one can stop mr. domino","","$25.0","(None)"
"1 - Bid option","6 dots","no one can stop mr. domino","","$20.0","(None)"
"1 - Bid option","0 dots","no one can stop mr. domino","","$0.0","(None)"
"1 - Bid option","3 dots","no one can stop mr. domino","","$0.0","(None)"
"1 - Bid option","4 dots","no one can stop mr. domino","","$0.0","(None)"
"1 - Bid option","9 dots","no one can stop mr. domino","","$0.0","(None)"
"0 - Donation Goal","Voice Clips","power shovel","Needs no explanation.","$420.00","$600.00"
"0 - Donation Goal","Cosplay and Singing","sonic r","","$1,131.00","$1,000.00"
"0 - Donation Goal","Difficult Mode","mega man 2","It was the normal mode for Rockman 2 anyways, what are you afraid of?","$2,080.99","$2,000.00"
"0 - Donation Goal","Glitched Run","super mario world 2: yoshi&#39;s island","Will do a glitched any% after the 100% run.","$3,099.02","$2,500.00"
"0 - Donation Goal","Shirtless Tri-Hex","super mario world 2: yoshi&#39;s island","","$3,688.39","$3,000.00"
"0 - Donation Goal","Shirt On Tri-Hex","super mario world 2: yoshi&#39;s island","","$164.20","$3,000.00"
"0 - Bid War","Which Ending?","bioshock","Must be decided before the start of the game (or rather, before the first little sister encounter).","$1,219.00","(None)"
"1 - Bid option","Good Ending","bioshock","","$723.0","(None)"
"1 - Bid option","Bad Ending","bioshock","","$496.0","(None)"
"0 - Donation Goal","&quot;A Bomb!&quot; and Gunther&#39;s Killphrase","deus ex","500$ each. Video Game voice acting is the best acting.","$1,036.66","$1,000.00"
"0 - Bid War","Which ending?","deus ex","","$645.40","(None)"
"1 - Bid option","Ascension","deus ex","","$370.0","(None)"
"1 - Bid option","Illuminati","deus ex","","$236.2","(None)"
"1 - Bid option","Dark Ages","deus ex","","$39.2","(None)"
"0 - Donation Goal","Glitch Exhibition","duke nukem 3d","A variety of fun and interesting exploits that wouldn&#39;t otherwise be seen in the normal run.","$1,578.00","$1,500.00"
"0 - Donation Goal","Secret map, &quot;Go 2 it&quot;","final doom: the plutonia experiment","Super secret level accessed from MAP31: Cyberden. A highly modified version of Doom II&#39;s MAP01: Entryway.","$2,444.21","$2,000.00"
"0 - Bid War","Which Game?","doom 1 vs. 2 bid war","","$3,066.00","(None)"
"1 - Bid option","Doom 2","doom 1 vs. 2 bid war","","$1,572.0","(None)"
