"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","BIG THE CAT","Sonic Adventure DX: Director&#39;s Cut","THIS IS VERY IMPORTANT AND CANON TO THE SONIC FRANCHISE, ALSO THE GUY WHO VOICED DUKE NUKEM VOICED BIG!","$1,055.00","$900.00"
"0 - Donation Goal","Glitched run!","Donkey Kong Country","Everyone likes the glitches","$1,080.61","$1,000.00"
"0 - Bid War","File Name","Donkey Kong Country 3","Up to 5 characters.","$2,291.57","(None)"
"1 - Bid option","IWATA","Donkey Kong Country 3","","$1,208.7","(None)"
"1 - Bid option","MVTDF","Donkey Kong Country 3","","$522.0","(None)"
"1 - Bid option","pizza","Donkey Kong Country 3","","$419.1","(None)"
"1 - Bid option","MIKE","Donkey Kong Country 3","","$50.0","(None)"
"1 - Bid option","Tank","Donkey Kong Country 3","","$50.0","(None)"
"1 - Bid option","GAPE","Donkey Kong Country 3","","$20.0","(None)"
"1 - Bid option","SPEED","Donkey Kong Country 3","","$11.6","(None)"
"1 - Bid option","Kavi","Donkey Kong Country 3","","$10.0","(None)"
"1 - Bid option","Cory","Donkey Kong Country 3","","$0.0","(None)"
"1 - Bid option","Gaben","Donkey Kong Country 3","","$0.0","(None)"
"1 - Bid option","JustMeme","Donkey Kong Country 3","","$0.0","(None)"
"1 - Bid option","TriHex Dank Shirt","Donkey Kong Country 3","","$0.0","(None)"
"1 - Bid option","Yonin","Donkey Kong Country 3","","$0.0","(None)"
"1 - Bid option","Yooka","Donkey Kong Country 3","","$0.0","(None)"
"0 - Donation Goal","Play the Lost World!","Donkey Kong Country 3","I can say with 100% certainty that it is better than the Jurassic Park sequel.","$983.01","$900.00"
"0 - Bid War","Costume Choice","Resident Evil 4","Default or Alternate (Leon RPD and Ashley Nightclub)","$1,021.28","(None)"
"1 - Bid option","Alternate","Resident Evil 4","","$854.2","(None)"
"1 - Bid option","Default","Resident Evil 4","","$167.0","(None)"
"0 - Donation Goal","Perform the Jetski Glitch","Resident Evil 4","Jetski fun-times in the ending cutscene.","$650.00","$650.00"
"0 - Donation Goal","Professional mode","Resident Evil 4","Because you can&#39;t fight crazed villagers as an amateur","$1,025.00","$1,000.00"
"0 - Donation Goal","Duck race","Shenmue II","Who doesn&#39;t want an exciting Duck race. May or may not feature race cars or airplanes like Duck Tales. woo-ooh!","$853.01","$850.00"
"0 - Donation Goal","Jump for Joy glitch","Shenmue II","Because everyone says marathons just aren&#39;t enough fun anymore.","$500.00","$500.00"
"0 - Donation Goal","Kill the optional bosses","TRAG: Mission of Mercy","But this game is mandatory.","$400.15","$400.00"
"0 - Bid War","Character choice","Tony Hawk&#39;s American Wasteland","","$473.13","(None)"
"1 - Bid option","Squid","Tony Hawk&#39;s American Wasteland","","$292.6","(None)"
"1 - Bid option","Tito","Tony Hawk&#39;s American Wasteland","","$114.4","(None)"
"1 - Bid option","Twister","Tony Hawk&#39;s American Wasteland","","$66.0","(None)"
"0 - Bid War","Choose the custom skater","Tony Hawk&#39;s American Wasteland","Choose between Twister, Tito, and Squid. http://i.imgur.com/th9ALOe.png","$28.27","(None)"
"1 - Bid option","Tito Rocket","Tony Hawk&#39;s American Wasteland","","$23.0","(None)"
"1 - Bid option","Squid Rocket","Tony Hawk&#39;s American Wasteland","","$5.2","(None)"
"1 - Bid option","Twister Rocket","Tony Hawk&#39;s American Wasteland","","$0.0","(None)"
"0 - Donation Goal","Difficult mode","DuckTales","Because you don&#39;t have the privilege to say, &quot;woo-ooh!&quot; in easy mode.","$507.00","$500.00"
"0 - Donation Goal","Hard mode","Maui Mallard in Cold Shadow","The only mode.","$530.00","$500.00"
"0 - Bid War","Choose the Monkey","Super Monkey Ball Deluxe","Choose from the dainty MeeMee, adventurous AiAi, cute Baby, and sexy GonGon.","$1,177.57","(None)"
"1 - Bid option","GonGon","Super Monkey Ball Deluxe","","$590.0","(None)"
"1 - Bid option","AiAi","Super Monkey Ball Deluxe","","$387.0","(None)"
"1 - Bid option","Baby","Super Monkey Ball Deluxe","","$167.5","(None)"
"1 - Bid option","MeeMee","Super Monkey Ball Deluxe","","$33.0","(None)"
"0 - Donation Goal","Octodad: The Dadliest Catch co-op run","Super Monkey Ball Deluxe","With Geoff and misskaddykins. That is $1250 per player, or $312.50 per tentacle.","$2,530.00","$2,500.00"
"0 - Bid War","Twilight Princess File Name","The Legend of Zelda: Twilight Princess","File Name 8 characters","$4,331.61","(None)"
"1 - Bid option","Iwata","The Legend of Zelda: Twilight Princess","","$2,712.2","(None)"
"1 - Bid option","FrankerZ","The Legend of Zelda: Twilight Princess","","$689.0","(None)"
"1 - Bid option","Lunk","The Legend of Zelda: Twilight Princess","","$303.0","(None)"
"1 - Bid option","KappaPride","The Legend of Zelda: Twilight Princess","","$248.2","(None)"
"1 - Bid option","Waffle","The Legend of Zelda: Twilight Princess","","$190.0","(None)"
"1 - Bid option","Mofat","The Legend of Zelda: Twilight Princess","","$51.5","(None)"
"1 - Bid option","Trihex shirt off","The Legend of Zelda: Twilight Princess","","$50.0","(None)"
"1 - Bid option","Zorldo","The Legend of Zelda: Twilight Princess","","$36.0","(None)"
"1 - Bid option","Taka","The Legend of Zelda: Twilight Princess","","$30.0","(None)"
"1 - Bid option","Zeldo","The Legend of Zelda: Twilight Princess","","$11.6","(None)"
"1 - Bid option","Nescher","The Legend of Zelda: Twilight Princess","","$5.0","(None)"
"1 - Bid option","TakaMoan","The Legend of Zelda: Twilight Princess","","$5.0","(None)"
"1 - Bid option","Agahnim","The Legend of Zelda: Twilight Princess","","$0.0","(None)"
"1 - Bid option","Epon","The Legend of Zelda: Twilight Princess","","$0.0","(None)"
"1 - Bid option","Lint","The Legend of Zelda: Twilight Princess","","$0.0","(None)"
"1 - Bid option","RINKU","The Legend of Zelda: Twilight Princess","","$0.0","(None)"
"1 - Bid option","Rogzer","The Legend of Zelda: Twilight Princess","","$0.0","(None)"
"1 - Bid option","Runners Choice","The Legend of Zelda: Twilight Princess","","$0.0","(None)"
"0 - Bid War","File name","Borderlands: The Pre-Sequel","Up to 15 characters.","$1,690.66","(None)"
"1 - Bid option","Butt Stallion","Borderlands: The Pre-Sequel","","$842.6","(None)"
"1 - Bid option","Iwata","Borderlands: The Pre-Sequel","","$459.0","(None)"
"1 - Bid option","JackyLaFrite","Borderlands: The Pre-Sequel","","$188.0","(None)"
"1 - Bid option","Dreddgasm","Borderlands: The Pre-Sequel","","$90.0","(None)"
"1 - Bid option","Chad","Borderlands: The Pre-Sequel","","$70.0","(None)"
"1 - Bid option","Coolman McGun","Borderlands: The Pre-Sequel","","$25.0","(None)"
"1 - Bid option","Space Broncos","Borderlands: The Pre-Sequel","","$11.0","(None)"
"1 - Bid option","literally hitler","Borderlands: The Pre-Sequel","","$5.0","(None)"
"1 - Bid option","Badonkadonk","Borderlands: The Pre-Sequel","","$0.0","(None)"
"1 - Bid option","cuck","Borderlands: The Pre-Sequel","","$0.0","(None)"
"0 - Donation Goal","Shuggurath glitch","Borderlands: The Pre-Sequel","Who doesn&#39;t like Aliens with overly long names.","$2,000.99","$2,000.00"
"0 - Bid War","Gun color","Lovely Planet","Choose between green, blue, purple, light green, and the manliest color, pink.","$670.97","(None)"
"1 - Bid option","Purple","Lovely Planet","","$337.8","(None)"
"1 - Bid option","Pink","Lovely Planet","","$282.0","(None)"
"1 - Bid option","Green","Lovely Planet","","$30.0","(None)"
"1 - Bid option","Blue","Lovely Planet","","$21.1","(None)"
"1 - Bid option","Light Green","Lovely Planet","","$0.0","(None)"
"0 - Donation Goal","Digivolve Greymon over Birdramon","Digimon World","","$1,003.26","$1,000.00"
"0 - Bid War","File name","Digimon World","6 character limit","$876.00","(None)"
"1 - Bid option","Keith","Digimon World","","$320.0","(None)"
"1 - Bid option","Iwata","Digimon World","","$272.0","(None)"
"1 - Bid option","Sanic","Digimon World","","$72.0","(None)"
"1 - Bid option","Dexter","Digimon World","","$70.0","(None)"
"1 - Bid option","Mr Diddles","Digimon World","","$50.0","(None)"
"1 - Bid option","Leomon","Digimon World","","$31.5","(None)"
"1 - Bid option","Iwatamon","Digimon World","","$30.0","(None)"
"1 - Bid option","The koree!!!","Digimon World","","$25.0","(None)"
"1 - Bid option","Tai, Tai!","Digimon World","","$5.5","(None)"
"1 - Bid option","Taichi","Digimon World","","$0.0","(None)"
"0 - Donation Goal","Have Striker sing the speedrun ballad","Star Wars (NES)","He will sing all the praises of resets, urns, and rngesus.","$1,031.56","$1,000.00"
"0 - Donation Goal","All stages run","Wizards &amp; Warriors","You want to see all of the princesses saved, right?","$800.00","$800.00"
"0 - Donation Goal","Mega Man X3 buster-only run","BONUS! Mega Man X3 low% buster only","Those boss weapons are cheating. Make it happen!","$3,699.27","$3,500.00"
"0 - Donation Goal","All bosses SOTN","BONUS! Castlevania: Symphony of the Night","All bosses SOTN","$1,531.23","$1,500.00"
"0 - Donation Goal","Castlevania: Symphony of the Night run","BONUS! Castlevania: Symphony of the Night","Make this run happen!","$1,500.00","$1,500.00"
"0 - Donation Goal","Hard mode","Castlevania: Aria of Sorrow","There are other difficulties?","$766.00","$750.00"
"0 - Bid War","Julius vs. Soma","Castlevania: Dawn of Sorrow","Do you want to not play a Belmont or play the second prettiest vampire of them all? Everyone knows Alucard is the prettiest.","$2,149.92","(None)"
"1 - Bid option","Julius","Castlevania: Dawn of Sorrow","","$1,289.4","(None)"
"1 - Bid option","Soma","Castlevania: Dawn of Sorrow","","$860.5","(None)"
"0 - Donation Goal","Make Portrait of Ruin happen","INCENTIVE! Portrait of Ruin glitched run","Make Romscout happy.","$1,110.00","$1,100.00"
"0 - Donation Goal","Low health challenge","Ori and the Blind Forest","Who needs health?","$1,228.33","$1,200.00"
"0 - Donation Goal","All dark magic","Shantae and the Pirate&#39;s Curse","","$1,000.00","$1,000.00"
"0 - Donation Goal","Sing the end credits song","Mighty Switch Force! 2","Because you know GDQ runners are such talented singers too.","$654.69","$650.00"
"0 - Bid War","Choose the ending","Bastion","Restoration vs. Evacuation.","$3,348.62","(None)"
"1 - Bid option","Evacuation","Bastion","","$1,990.6","(None)"
"1 - Bid option","Restoration","Bastion","","$1,358.0","(None)"
"0 - Donation Goal","Hero 3","Half-Minute Hero","Blink and you&#39;ll miss it.","$350.00","$300.00"
"0 - Donation Goal","Hero 300","Half-Minute Hero","An epic journey spanning five minutes.","$600.50","$600.00"
"0 - Bid War","Name the hero!","Half-Minute Hero","You can personally inscribe your name on a hero who will be finishing quests in less than half a minute. 8 character limit.","$1,403.18","(None)"
"1 - Bid option","PacSmug","Half-Minute Hero","","$665.5","(None)"
"1 - Bid option","Iwata","Half-Minute Hero","","$587.0","(None)"
"1 - Bid option","Bro","Half-Minute Hero","","$90.0","(None)"
"1 - Bid option","Quickz","Half-Minute Hero","","$30.0","(None)"
"1 - Bid option","Sanic","Half-Minute Hero","","$11.6","(None)"
"1 - Bid option","ADHD","Half-Minute Hero","","$10.0","(None)"
"1 - Bid option","Rane","Half-Minute Hero","","$5.0","(None)"
"1 - Bid option","Fast","Half-Minute Hero","","$4.0","(None)"
"0 - Donation Goal","Controller Cam","Kirby: Tilt N Tumble","See the tilting up close.","$1,508.77","$1,500.00"
"0 - Donation Goal","Controller Cam","Kirby Super Star","Watch as usedpizza gives himself carpal tunnel syndrome!","$3,100.60","$3,000.00"
"0 - Donation Goal","Voice act the cutscenes","Kirby&#39;s Avalanche vs. Dr. Robotnik&#39;s Mean Bean Machine","Only the finest talent here.","$506.77","$500.00"
"0 - Bid War","Vote for the game.","Kirby&#39;s Avalanche vs. Dr. Robotnik&#39;s Mean Bean Machine","We&#39;re taking it back to the 90&#39;s and doing Sega vs. Nintendo.","$4,417.85","(None)"
"1 - Bid option","Kirby&#39;s Avalanche","Kirby&#39;s Avalanche vs. Dr. Robotnik&#39;s Mean Bean Machine","","$2,724.3","(None)"
"1 - Bid option","Dr. Robotnik&#39;s Mean Bean Machine","Kirby&#39;s Avalanche vs. Dr. Robotnik&#39;s Mean Bean Machine","","$1,693.5","(None)"
"0 - Donation Goal","Expert mode","Gunstar Heroes","No other modes allowed.","$1,250.00","$1,250.00"
"0 - Bid War","File name","Legend of Zelda: Majora&#39;s Mask 3D","","$4,573.01","(None)"
"1 - Bid option","Iwata","Legend of Zelda: Majora&#39;s Mask 3D","","$2,774.5","(None)"
"1 - Bid option","BEN","Legend of Zelda: Majora&#39;s Mask 3D","","$949.4","(None)"
"1 - Bid option","BlameTK","Legend of Zelda: Majora&#39;s Mask 3D","","$401.0","(None)"
"1 - Bid option","Germench","Legend of Zelda: Majora&#39;s Mask 3D","","$289.0","(None)"
"1 - Bid option","Cake","Legend of Zelda: Majora&#39;s Mask 3D","","$156.0","(None)"
"1 - Bid option","MasterP","Legend of Zelda: Majora&#39;s Mask 3D","","$3.0","(None)"
"0 - Donation Goal","Legend of Zelda: swordless %","BONUS! The Legend of Zelda, swordless","The pen is mightier than the sword. Wait a minute, I don&#39;t have a pen. Make it happen!","$8,138.75","$8,000.00"
"0 - Donation Goal","The Legend of Zelda Glitched Any%","BONUS! The Legend of Zelda, swordless","Glitched Any%, a series of insane glitches to beat the game in under 5 minutes.","$2,001.69","$2,000.00"
"0 - Bid War","The Legend of Zelda: Swordless% File Name","BONUS! The Legend of Zelda, swordless","8-character limit","$2,167.45","(None)"
"1 - Bid option","Iwata","BONUS! The Legend of Zelda, swordless","","$785.0","(None)"
