"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","Complete the Path of Pain","Hollow Knight","Clear the Path of Pain during the Hollow Knight run, which is an incredibly difficult optional obstacle course.","$5,362.69","$5,000.00"
"0 - Donation Goal","Play the Secret Levels","Serious Sam Classic: The First Encounter","Play the two bonus levels, Moon Mountains and Sacred Yards, during the Serious Sam Classic: The First Encounter run.","$7,525.78","$7,500.00"
"0 - Bid War","Choose the filename","The Legend of Zelda: Majora&#39;s Mask","Choose the filename for the Majora&#39;s Mask run. 8 characters maximum.","$9,821.06","(None)"
"1 - Bid option","My dude","The Legend of Zelda: Majora&#39;s Mask","","$3,871.0","(None)"
"1 - Bid option","Tingle","The Legend of Zelda: Majora&#39;s Mask","","$3,035.0","(None)"
"1 - Bid option","Baguette","The Legend of Zelda: Majora&#39;s Mask","","$1,994.0","(None)"
"1 - Bid option","MaskDeFR","The Legend of Zelda: Majora&#39;s Mask","","$290.0","(None)"
"1 - Bid option","ClintS","The Legend of Zelda: Majora&#39;s Mask","","$210.0","(None)"
"1 - Bid option","Luigi","The Legend of Zelda: Majora&#39;s Mask","","$81.0","(None)"
"1 - Bid option","Bilbo","The Legend of Zelda: Majora&#39;s Mask","","$70.0","(None)"
"1 - Bid option","Tetenal","The Legend of Zelda: Majora&#39;s Mask","","$60.0","(None)"
"1 - Bid option","Sonic","The Legend of Zelda: Majora&#39;s Mask","","$50.0","(None)"
"1 - Bid option","Zelda","The Legend of Zelda: Majora&#39;s Mask","","$40.0","(None)"
"1 - Bid option","Donator","The Legend of Zelda: Majora&#39;s Mask","","$25.0","(None)"
"1 - Bid option","Hibiki","The Legend of Zelda: Majora&#39;s Mask","","$25.0","(None)"
"1 - Bid option","Linky","The Legend of Zelda: Majora&#39;s Mask","","$25.0","(None)"
"1 - Bid option","Girl Link","The Legend of Zelda: Majora&#39;s Mask","","$20.0","(None)"
"1 - Bid option","GreenBoy","The Legend of Zelda: Majora&#39;s Mask","","$15.0","(None)"
"1 - Bid option","Gnome","The Legend of Zelda: Majora&#39;s Mask","","$5.0","(None)"
"1 - Bid option","majinD","The Legend of Zelda: Majora&#39;s Mask","","$5.0","(None)"
"0 - Bid War","Costume Choice","God of War II","Choose the costume used by Kratos during the God of War II run.","$6,216.05","(None)"
"1 - Bid option","Cod of War","God of War II","","$3,716.0","(None)"
"1 - Bid option","Athena","God of War II","","$2,345.0","(None)"
"1 - Bid option","Dark Odyssey","God of War II","","$95.0","(None)"
"1 - Bid option","God Armor","God of War II","","$60.0","(None)"
"0 - Bid War","Choose the Cat Bird","Cat Bird","Choose the skin used during the Cat Bird run.","$1,518.77","(None)"
"1 - Bid option","White Bird","Cat Bird","","$580.5","(None)"
"1 - Bid option","Gold Cat Bird","Cat Bird","","$483.2","(None)"
"1 - Bid option","Black Cat Bird","Cat Bird","","$455.0","(None)"
"0 - Bid War","Striker vs Ninja","CometStriker","Choose whether the Striker or Ninja are played for the CometStriker run.","$516.90","(None)"
"1 - Bid option","Striker","CometStriker","","$300.0","(None)"
"1 - Bid option","Ninja","CometStriker","","$216.9","(None)"
"0 - Donation Goal","Upgrade to Berserk Mode","Khimera: Destroy All Monster Girls","Change the category of the Khimera: Destroy all Monster Girls run to Berserk Mode.","$3,035.00","$3,000.00"
"0 - Bid War","Name the Character","Bloody Wolf","Choose the names given to the characters Snake and Eagle in the Bloody Wolf run. 5 character maximum, top two are chosen.","$556.00","(None)"
"1 - Bid option","JCVD","Bloody Wolf","","$310.0","(None)"
"1 - Bid option","Tulip","Bloody Wolf","","$75.0","(None)"
"1 - Bid option","Mang0","Bloody Wolf","","$40.0","(None)"
"1 - Bid option","GIJoe","Bloody Wolf","","$25.0","(None)"
"1 - Bid option","Gord","Bloody Wolf","","$25.0","(None)"
"1 - Bid option","Ted","Bloody Wolf","","$25.0","(None)"
"1 - Bid option","YaBoi","Bloody Wolf","","$25.0","(None)"
"1 - Bid option","Fever","Bloody Wolf","","$20.0","(None)"
"1 - Bid option","Jwee","Bloody Wolf","","$11.0","(None)"
"0 - Bid War","Filename Choice","Castlevania: Aria of Sorrow","Choose the name used for the save file in the Castlevania: Aria of Sorrow run. 8 character maximum, Julius is not an allowed choice.","$4,108.84","(None)"
"1 - Bid option","Bebel","Castlevania: Aria of Sorrow","","$1,386.0","(None)"
