"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","Upgrade Race to All Dark Magic","Shantae and the Pirate&#39;s Curse","If met, the Shantae and the Pirate&#39;s Curse race will change from an Any% Pirate No-OoB race to an All Dark Magic Pirate No-OoB race.","$10,118.15","$10,000.00"
"0 - Bid War","Costume Choice","Resident Evil 4","Choose between the Normal and Special 1 costumes for the Resident Evil 4 run.","$3,178.16","(None)"
"1 - Bid option","Special 1","Resident Evil 4","","$2,963.1","(None)"
"1 - Bid option","Normal","Resident Evil 4","","$215.0","(None)"
"0 - Donation Goal","Jetski Glitch","Resident Evil 4","If met, JTB will perform the Jetski Glitch at the end of the Resident Evil 4 run.","$4,210.56","$4,000.00"
"0 - Donation Goal","Best Ending","Gimmick!","If met, we will upgrade the category for Gimmick to Best Ending Glitchless.","$3,151.66","$3,000.00"
"0 - Bid War","Armor Color","Gauntlet Legends","Choose the armor color of the player character for the Gauntlet Legends run.","$1,621.00","(None)"
"1 - Bid option","Red","Gauntlet Legends","","$626.0","(None)"
"1 - Bid option","Yellow","Gauntlet Legends","","$505.0","(None)"
"1 - Bid option","Green","Gauntlet Legends","","$290.0","(None)"
"1 - Bid option","Blue","Gauntlet Legends","","$200.0","(None)"
"0 - Bid War","Character Choice","Gauntlet Legends","Choose the character class used for the Gauntlet Legends run.","$2,786.00","(None)"
"1 - Bid option","Wizard","Gauntlet Legends","","$1,202.0","(None)"
"1 - Bid option","Warrior","Gauntlet Legends","","$870.0","(None)"
"1 - Bid option","Valkyrie","Gauntlet Legends","","$514.0","(None)"
"1 - Bid option","Archer","Gauntlet Legends","","$200.0","(None)"
"0 - Bid War","3 More Prinnies, Dood!","Disgaea 5: Alliance of Vengeance","More Prinnies is always good. GreenZSaber will create three more Prinnies that you can name during the Disgaea 5 run. 20 character limit, top three are chosen.","$2,598.00","(None)"
"1 - Bid option","My Dood","Disgaea 5: Alliance of Vengeance","","$625.0","(None)"
"1 - Bid option","Dood","Disgaea 5: Alliance of Vengeance","","$550.0","(None)"
"1 - Bid option","Doop Doop Doopydoo","Disgaea 5: Alliance of Vengeance","","$349.0","(None)"
"1 - Bid option","Jeff","Disgaea 5: Alliance of Vengeance","","$335.0","(None)"
"1 - Bid option","Boom boi","Disgaea 5: Alliance of Vengeance","","$130.0","(None)"
"1 - Bid option","The Jet Black Wings","Disgaea 5: Alliance of Vengeance","","$125.0","(None)"
"1 - Bid option","POGGERS","Disgaea 5: Alliance of Vengeance","","$70.0","(None)"
"1 - Bid option","Grape-Kun","Disgaea 5: Alliance of Vengeance","","$55.0","(None)"
"1 - Bid option","Biggs","Disgaea 5: Alliance of Vengeance","","$52.5","(None)"
"1 - Bid option","Wedge","Disgaea 5: Alliance of Vengeance","","$52.5","(None)"
"1 - Bid option","Ms. Splosion Man","Disgaea 5: Alliance of Vengeance","","$50.0","(None)"
"1 - Bid option","Sardine","Disgaea 5: Alliance of Vengeance","","$50.0","(None)"
"1 - Bid option","Soloman","Disgaea 5: Alliance of Vengeance","","$50.0","(None)"
"1 - Bid option","ARBYS","Disgaea 5: Alliance of Vengeance","","$42.0","(None)"
"1 - Bid option","DougDoug","Disgaea 5: Alliance of Vengeance","","$15.0","(None)"
"1 - Bid option","Pirate In A Tux","Disgaea 5: Alliance of Vengeance","","$15.0","(None)"
"1 - Bid option","Sans Undertale","Disgaea 5: Alliance of Vengeance","","$15.0","(None)"
"1 - Bid option","Pengu","Disgaea 5: Alliance of Vengeance","","$10.0","(None)"
"1 - Bid option","Piplup","Disgaea 5: Alliance of Vengeance","","$7.0","(None)"
"0 - Bid War","Bonus Main Character Scenario","Disgaea 5: Alliance of Vengeance","Choose between the Main Characters of Disgaea 1 through 4 for a Bonus Main Character Scenario after the Disgaea 5 run.","$1,610.00","(None)"
"1 - Bid option","Laharl (Disgaea 1)","Disgaea 5: Alliance of Vengeance","","$1,090.0","(None)"
"1 - Bid option","Mao (Disgaea 3)","Disgaea 5: Alliance of Vengeance","","$300.0","(None)"
"1 - Bid option","Adell (Disgaea 2)","Disgaea 5: Alliance of Vengeance","","$170.0","(None)"
