"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","Stormy Ascent","Crash Bandicoot N. Sane Trilogy","If met, JHobz will complete the super hard Crash Bandicoot 1 level Stormy Ascent, which was removed from the original release of Crash Bandicoot 1 due to its difficulty.","$5,154.82","$5,000.00"
"0 - Donation Goal","Final Boss Dance Party","Splatoon 2","If met, the Calimari Inkantation Squid Sister&#39;s Dance Party will be mimicked by the crowd and couch for the Splatoon 2 run.","$5,136.22","$5,000.00"
"0 - Donation Goal","Invisible Hornet Fight","Hollow Knight","If met, Mickely3 will fight Hornet while completely invisible during the Hollow Knight run.","$5,140.00","$5,000.00"
"0 - Bid War","Choose the Character","Blaster Master Zero","Choose the character used for the Blaster Master Zero run.","$2,201.15","(None)"
"1 - Bid option","Shantae","Blaster Master Zero","","$1,432.0","(None)"
"1 - Bid option","Shovel Knight","Blaster Master Zero","","$373.0","(None)"
"1 - Bid option","Ekoro","Blaster Master Zero","","$167.7","(None)"
"1 - Bid option","Jason","Blaster Master Zero","","$133.3","(None)"
"1 - Bid option","Gunvolt","Blaster Master Zero","","$95.0","(None)"
"0 - Donation Goal","All Gems","Disney&#39;s Aladdin","If met, the run for Aladdin will be changed to an All Gems (100%) run.","$5,088.02","$5,000.00"
"0 - Donation Goal","BONUS GAME: Donkey Kong Country","Donkey Kong Country","Replace SETUP BLOCK 1 with a Donkey Kong Country Reverse Boss Order run by V0oid.","$21,392.22","$20,000.00"
"0 - Bid War","Otacon vs Meryl","Metal Gear Solid","Decide who will accompany Snake at the end of the Metal Gear Solid run.","$13,374.84","(None)"
"1 - Bid option","Save Otacon","Metal Gear Solid","","$6,977.6","(None)"
"1 - Bid option","Save Meryl","Metal Gear Solid","","$6,397.2","(None)"
"0 - Donation Goal","Sumichu sings Snake Eater","Metal Gear Solid 3: Snake Eater","If met, GDQs very own sumichu will sing Snake Eater during the credits of the Metal Gear Solid 3 run.","$7,500.21","$7,500.00"
"0 - Bid War","Choose the Time of Day","Burnout Paradise","Choose the time of day setting used for the Burnout Paradise run.","$2,899.72","(None)"
"1 - Bid option","Permanent Midnight","Burnout Paradise","","$1,136.6","(None)"
"1 - Bid option","Permanent Daytime","Burnout Paradise","","$931.0","(None)"
"1 - Bid option","24 Minute Days","Burnout Paradise","","$832.0","(None)"
"0 - Donation Goal","Play on Monsoon","Risk of Rain","If met, the Risk of Rain run will be done on the hardest difficulty, Monsoon.","$4,186.18","$4,000.00"
"0 - Donation Goal","Bonus Maxim Any% Run","Castlevania: Harmony of Dissonance","If met, VB__ will perform an additional Maxim Any% run after the Maxim All Bosses run for Castlevania: Harmony of Dissonance.","$7,560.00","$7,500.00"
"0 - Bid War","Route Choice: Eirika vs Ephraim","Fire Emblem: The Sacred Stones","Decide whether Kirbymastah will take the Ephraim or Eirika route for the Fire Emblem 8 run.","$4,060.28","(None)"
"1 - Bid option","Eirika Route","Fire Emblem: The Sacred Stones","","$2,642.8","(None)"
"1 - Bid option","Ephraim Route","Fire Emblem: The Sacred Stones","","$1,417.4","(None)"
"0 - Donation Goal","Complete the Champion&#39;s Road","Super Mario 3D World","If met, the extra difficult bonus level Champion&#39;s Road will be completed after the Super Mario 3D World run.","$10,081.00","$10,000.00"
"0 - Bid War","Final Level Character","Super Mario 3D World","Choose the character used for the final level, the Great Tower of Bowser Land, during the Super Mario 3D World run.","$13,372.65","(None)"
"1 - Bid option","Toad","Super Mario 3D World","","$4,591.4","(None)"
"1 - Bid option","Luigi","Super Mario 3D World","","$4,369.3","(None)"
"1 - Bid option","Mario","Super Mario 3D World","","$4,071.3","(None)"
"1 - Bid option","Peach","Super Mario 3D World","","$340.5","(None)"
"0 - Donation Goal","Save Gnome Chompski","Left 4 Dead 2","If met, the L4D2 runners will rescue everyone&#39;s favourite garden gnome from the zombie hordes in the Dark Carnival level.","$5,000.00","$5,000.00"
"0 - Bid War","Choose the Language","Dying Light","Choose the language used for the Dying Light coop run.","$3,319.72","(None)"
"1 - Bid option","French","Dying Light","","$1,573.2","(None)"
"1 - Bid option","German","Dying Light","","$1,307.5","(None)"
"1 - Bid option","English","Dying Light","","$274.0","(None)"
"1 - Bid option","Italian","Dying Light","","$140.0","(None)"
"1 - Bid option","Spanish","Dying Light","","$25.0","(None)"
"0 - Bid War","Ophelia vs Caleb","Blood II: The Chosen","Decide whether Cubeface will play as Ophelia or Caleb for the Blood 2: The Chosen run.","$2,148.23","(None)"
"1 - Bid option","Play as Ophelia","Blood II: The Chosen","","$1,111.0","(None)"
"1 - Bid option","Play as Caleb","Blood II: The Chosen","","$1,037.2","(None)"
"0 - Donation Goal","All Bosses","Wizards &amp; Warriors","If met, the Wizards &amp; Warriors run category will be changed to All Bosses.","$6,080.50","$6,000.00"
