"Type","Incentive","Game","Description","Amount","Goal"
"0 - Bid War","Save Meryl or Save Otacon","metal gear solid","","$963.37","(None)"
"1 - Bid option","Save Meryl","metal gear solid","","$548.0","(None)"
"1 - Bid option","Save Otacon","metal gear solid","","$415.3","(None)"
"0 - Donation Goal","Sniper Wolf Fist Fight","metal gear solid","Yes, it&#39;s possible.","$547.12","$200.00"
"0 - Donation Goal","Tuxedo Snake","metal gear solid","Make Snake wear a Tuxedo!","$387.00","$300.00"
"0 - Donation Goal","DLC level Blind with reversed controls","hotline miami","","$426.00","$250.00"
"0 - Donation Goal","Teh Urn Dance","luigi&#39;s mansion","Make Bonesaw577 perform teh urn dance! For all two of you who don&#39;t know the dance, http://tehurn.com/","$736.68","$500.00"
"0 - Bid War","Evolution Choice","e.v.o. the search for eden","Choose whether DW transforms into a mammal or bird. Fish is off-limits, sorry.","$330.00","(None)"
"1 - Bid option","Bird","e.v.o. the search for eden","","$250.0","(None)"
"1 - Bid option","Mammal","e.v.o. the search for eden","","$80.0","(None)"
"0 - Donation Goal","Spyro: Enter the Dragonfly run","spyro 2: ripto&#39;s rage","Spyro: Enter the Dragonfly glitched run by Omegagalax. It will offset the schedule by a whopping 5 minutes.","$462.00","$300.00"
"0 - Bid War","Costume choice","Nier","Choose between Normal, Samurai and Kabuki costumes.","$272.37","(None)"
"1 - Bid option","Kabuki","Nier","","$182.0","(None)"
"1 - Bid option","Samurai","Nier","","$55.3","(None)"
"1 - Bid option","Normal","Nier","","$35.0","(None)"
"0 - Bid War","Name Choice","Nier","","$353.00","(None)"
"1 - Bid option","ZeratoR","Nier","","$310.0","(None)"
"1 - Bid option","Cosmo","Nier","","$43.0","(None)"
"1 - Bid option","Davey Boy","Nier","","$0.0","(None)"
"0 - Donation Goal","Race between funkdoc and sinister","batman","","$538.25","$500.00"
"0 - Donation Goal","Hard mode","ecco: tides of time","","$888.35","$750.00"
"0 - Donation Goal","Have Wawlconut play Donkey Kong Land","ecco: tides of time","#freetheland","$515.00","$500.00"
"0 - Donation Goal","George Foreman KO Boxing","sonic the hedgehog (sms)","Let Adam rep the best team after SMS Sonic.","$301.00","$300.00"
"0 - Donation Goal","Amy&#39;s Story","sonic adventure dx","Play Amy&#39;s story.","$427.23","$400.00"
"0 - Donation Goal","Big the Cat","sonic adventure dx","The epic story of an oppressed villager striking back against the Hedgehog Empire.","$567.00","$500.00"
"0 - Donation Goal","Big the Cat RACE!!!!!","sonic adventure dx","ADAMAK RACE HYYYYYYYYYPE!","$782.45","$500.00"
"0 - Donation Goal","Play the Cutscenes","mega man 8","Doctor Wah-wee.","$490.00","$400.00"
"0 - Donation Goal","Black Zero","mega man x4","Play as Black Zero with a purple sword","$201.00","$200.00"
"0 - Donation Goal","Iris Cutscene","mega man x4","Donate for the best cutscene on earth.","$568.05","$505.00"
"0 - Bid War","Mega Man X5 or X6","mega man x5 or x6 bid war","Choose between Mega Man X5 and Mega Man X6","$1,866.87","(None)"
